Date,Month,Year,Holidays_Count,Days,PM2.5,PM10,NO2,SO2,CO,Ozone,AQI
13,1,2022,0,4,156.23,217.25,14.17,12.11,1.92,33.83,322
14,1,2022,0,5,161.15,216.8,11.81,13.68,2.01,23.39,300
15,1,2022,0,6,92.03,175.69,3.48,2.06,0.9,14.59,205
16,1,2022,1,7,132.88,227.47,5.1,1.69,1.15,14.04,310
17,1,2022,0,1,169.34,338.88,13.31,2.53,1.34,10.23,338
18,1,2022,0,2,159.39,306.91,7.92,3.07,1.35,8.61,330
19,1,2022,0,3,168.08,344.99,7.29,3.22,1.51,13.58,337
20,1,2022,0,4,284.88,539.69,14.36,9.91,1.98,9.02,465
21,1,2022,0,5,333.91,419.02,9.76,10.27,3.9,28.03,434
22,1,2022,0,6,146.49,170.95,9.65,9,1.93,19.13,365
23,1,2022,1,7,112.86,128.02,9.59,7.93,1.56,20.27,220
24,1,2022,0,1,136.58,162.36,9.6,8.39,2.2,19.4,283
25,1,2022,0,2,117.64,164.14,9.58,8.21,1.96,19.53,207
26,1,2022,1,3,133.37,179.09,9.59,8.6,1.77,23.4,292
27,1,2022,0,4,124.59,164.06,9.58,8.3,1.57,29.45,279
28,1,2022,0,5,107.08,159.79,9.54,8.01,1.35,32.61,224
29,1,2022,0,6,118.42,194.84,12.09,8.01,1.45,33.76,247
30,1,2022,1,7,136.49,191.22,9.99,8.69,1.38,35.91,270
31,1,2022,0,1,212.44,269.23,16.09,9.15,1.98,25.3,321
1,2,2022,0,2,200.2,245.48,7.96,11.07,1.48,20.03,376
2,2,2022,0,3,137.15,189.65,7.76,9.79,0.31,30.13,327
3,2,2022,0,4,122.9,145.08,6.34,12.69,0.55,27.83,302
4,2,2022,0,5,55.45,51.03,23.56,16.21,1.06,28.64,153
5,2,2022,0,6,106.6,214.4,22.33,11.45,0.81,25.75,196
6,2,2022,1,7,222.4,306.91,26.94,11.59,3.36,25.55,325
7,2,2022,0,1,177.28,290.62,28.84,10.19,1.47,25.35,291
8,2,2022,0,2,178.34,297.03,26.78,11.34,1.37,28.58,312
9,2,2022,0,3,83.57,130.3,17.15,10.19,1.19,34.29,221
10,2,2022,0,4,91.43,159.66,17.28,10.28,1.01,30.11,189
11,2,2022,0,5,75.33,150.38,16.52,8.6,0.58,32.35,154
12,2,2022,0,6,103.46,205.6,20.69,6.89,0.64,29.56,206
13,2,2022,1,7,128.11,234.49,23.96,7.23,1.22,24.86,261
14,2,2022,0,1,138.33,262.43,29,6.63,1.32,23.8,258
15,2,2022,0,2,130.54,273.39,48.96,7.67,1.62,21.22,246
16,2,2022,0,3,122.57,259.51,37.99,7.63,1,35.12,253
17,2,2022,0,4,110.41,200.28,32.95,6.58,0.97,23.53,250
18,2,2022,0,5,119.32,221.72,31.48,6.99,1.18,19.35,258
19,2,2022,0,6,88.12,173.13,26.18,6.76,0.84,27.62,175
20,2,2022,1,7,79.64,158.27,20.02,6.58,0.7,34.78,176
21,2,2022,0,1,90.28,199.57,29.99,7.45,1.09,28.03,169
22,2,2022,0,2,115.54,268.96,40.22,8.11,1.43,33.75,254
23,2,2022,0,3,110.08,197.08,40.61,7.18,1.03,35.14,184
24,2,2022,0,4,170.05,282.62,51.29,10.08,1.32,14.35,329
25,2,2022,0,5,141.36,238.14,48.67,9.86,1.12,15.85,300
26,2,2022,0,6,33.68,54.14,20,9.9,0.27,35.66,77
27,2,2022,1,7,46.46,85.69,25.1,10.21,0.41,25.82,88
28,2,2022,0,1,46.4,109.67,27.75,7.66,0.43,23.72,81
1,3,2022,1,2,85.73,151.28,36.07,3.59,0.66,16.6,147
2,3,2022,0,3,91.13,189.14,35.72,5.49,0.69,15.45,216
3,3,2022,0,4,84.01,206.66,41.88,6.19,0.69,17.37,157
4,3,2022,0,5,73.41,134.65,22.96,6.55,0.46,17.25,164
5,3,2022,0,6,58.68,118.51,25.18,5.5,0.41,21.35,107
6,3,2022,1,7,94.04,170.68,34.49,6,0.75,18.36,176
7,3,2022,0,1,129.2,234.23,50.76,6.57,1.16,20.06,254
8,3,2022,0,2,145.6,237.18,43.36,5.95,0.99,12.66,282
9,3,2022,0,3,86.63,183.86,33.09,5.58,0.58,13.61,173
10,3,2022,0,4,69.99,141.85,25.92,5.51,0.5,14.42,150
11,3,2022,0,5,89.92,164.82,28.16,5.61,0.55,12.94,177
12,3,2022,0,6,83.12,178.02,31.83,8.14,0.59,11.86,181
13,3,2022,1,7,106.78,208.46,34.5,8.05,0.8,8.36,220
14,3,2022,0,1,125.69,233.95,31.36,8.64,1.05,5.66,255
15,3,2022,0,2,138.44,264.19,16.41,9.21,1.07,5.97,269
16,3,2022,0,3,95.12,216.2,18.71,8.01,0.68,5.33,228
17,3,2022,0,4,121.13,219.67,24.51,8.59,0.93,6.19,221
18,3,2022,1,5,154.35,218.23,22.48,9.65,1.4,5.08,301
19,3,2022,0,6,104.8,186.04,15.79,8.61,1.11,4.18,216
20,3,2022,1,7,96.02,199.8,62.7,9.71,1.01,4.29,241
21,3,2022,0,1,146.2,257.8,28.46,13.77,1.4,4.89,244
22,3,2022,0,2,75.06,188.92,18.07,8.63,0.73,7.08,169
23,3,2022,0,3,106.34,259.97,27.7,10.45,1.25,7.17,215
24,3,2022,0,4,115.45,314.89,16.62,13.65,1.82,5.84,272
25,3,2022,0,5,92.25,230.52,9.85,9.43,0.96,8.29,208
26,3,2022,0,6,91.62,274.15,11.3,11.24,0.75,12.77,220
27,3,2022,1,7,93.61,240.58,11.29,11.18,0.96,15.75,201
28,3,2022,0,1,116.25,315.46,12.55,17.62,1.87,6.09,264
29,3,2022,0,2,138.58,350.07,10.27,19.08,1.69,6.08,287
30,3,2022,0,3,196.84,413.05,10.14,41.66,2.51,8.82,310
31,3,2022,0,4,98.54,284.67,177.31,15.96,0.92,65.05,254
1,4,2022,0,5,99.98,245.53,37.06,10.11,0.44,47.41,214
2,4,2022,0,6,109.14,288.12,11.47,22.11,0.83,42.17,243
3,4,2022,1,7,92.99,257.79,11.74,28.66,1.16,49.96,234
4,4,2022,0,1,115.62,336.1,9.15,45.45,0.89,35.77,289
5,4,2022,0,2,112.37,302.26,11.34,45.05,0.84,39.92,251
6,4,2022,0,3,143.22,369.49,12.62,73.29,1.05,37.86,289
7,4,2022,0,4,222.39,401.14,13.51,102.27,1.14,35.23,347
8,4,2022,0,5,192.1,257.82,12.84,60.07,0.78,42.91,313
9,4,2022,0,6,237.21,374.81,10.19,84.44,1.19,32.07,292
10,4,2022,1,7,187.48,344.34,8.31,87.88,0.85,35.98,325
11,4,2022,0,1,307.96,358.11,12.42,100.35,1.13,19.98,295
12,4,2022,0,2,127.14,277.88,10.48,67.15,1.17,15.03,244
13,4,2022,0,3,174.31,390.53,9.89,11.29,1.57,11.37,323
14,4,2022,1,4,118.18,343.81,8.12,7.86,0.45,21.09,287
15,4,2022,1,5,82.38,177.24,8.2,5.59,0.55,39.99,190
16,4,2022,0,6,95.16,254.7,10.89,15.89,0.68,65.24,257
17,4,2022,1,7,130.14,251.29,11.44,10.19,0.94,44.14,272
18,4,2022,0,1,153.78,295.27,12.63,20.03,1.47,13.23,280
19,4,2022,0,2,217.62,454.54,26.28,47.55,1.25,23.3,328
20,4,2022,0,3,149.35,295.44,51.47,70.15,0.8,52.6,286
21,4,2022,0,4,158.74,404.39,51.06,66.06,0.85,45.57,320
22,4,2022,0,5,71.85,188.81,49.96,42,0.68,70.31,188
23,4,2022,0,6,151.76,280.78,52.49,60.66,0.94,68.15,269
24,4,2022,1,7,153.34,368.79,49.99,74.81,0.83,87.03,282
25,4,2022,0,1,135.6,391.66,48.93,64.03,0.73,85.59,278
26,4,2022,0,2,89.17,206.28,51.9,50.22,0.8,81.84,226
27,4,2022,0,3,330.82,452.89,58.08,65.72,2.02,41.71,348
28,4,2022,0,4,233.44,332.7,56.12,38.75,1.49,75.73,387
29,4,2022,0,5,267.08,391.34,54.89,41.51,1.34,63.83,413
30,4,2022,0,6,197.42,290.64,54.05,83.79,1.32,29.18,360
1,5,2022,1,7,166.64,272.39,47.73,10.37,1.32,14.59,226
2,5,2022,0,1,116.44,226.9,42.34,33.06,0.91,12.56,289
3,5,2022,1,2,155.22,214.71,37.56,11.29,0.94,9.7,286
4,5,2022,0,3,147.9,352.92,21.57,26.81,0.93,42.71,324
5,5,2022,0,4,122.14,400.61,4.82,27.5,0.92,43.68,365
6,5,2022,0,5,223.23,399.48,4.64,26.72,1.5,43.44,364
7,5,2022,0,6,169.8,320.74,3.65,28.74,1.45,54.13,335
8,5,2022,1,7,140.79,204.26,3.55,26.67,1.01,92.53,312
9,5,2022,0,1,103.11,152.61,2.81,26.07,0.84,86.57,267
10,5,2022,0,2,104.13,156.94,2.49,21.87,0.88,51.9,244
11,5,2022,0,3,93.53,152.07,2.44,11.04,0.88,47.43,200
12,5,2022,0,4,92.97,153.91,2.81,12.21,0.91,49.35,194
13,5,2022,0,5,125.05,237.2,3.05,11.57,1.07,37.57,242
14,5,2022,0,6,167.49,268.07,4.09,16.78,1.51,30.78,310
15,5,2022,1,7,118.54,257.73,3.57,24.06,1.24,33.43,295
16,5,2022,1,1,128.94,324.32,2.59,16.86,0.76,35.91,265
17,5,2022,0,2,99.59,220.11,2.16,12.65,0.79,63.21,206
18,5,2022,0,3,128.52,227.35,2.51,14.74,0.93,58.41,296
19,5,2022,0,4,142.69,263.31,3.84,48,1.01,43.31,265
20,5,2022,0,5,140.77,251.6,4.89,78.6,0.96,25.7,288
21,5,2022,0,6,117.78,344.59,37.17,38.98,1.04,31.82,280
22,5,2022,1,7,125.68,168.44,52.14,83.06,1.21,9.02,268
23,5,2022,0,1,32.25,110.82,4.58,4.08,0.85,35.73,151
24,5,2022,0,2,44.38,97.45,6.22,3.87,1.09,36.44,73
25,5,2022,0,3,91.29,183.36,9.19,4.57,1.2,34.18,202
26,5,2022,0,4,105.62,233.43,12.82,6.56,1.23,49.55,222
27,5,2022,0,5,100.86,204.27,37.65,20.9,1.41,18.92,238
28,5,2022,0,6,81.46,210.55,37.16,20.91,1.27,17.39,178
29,5,2022,1,7,82.9,207.85,37.04,18.58,1.21,29.13,196
30,5,2022,0,1,83.36,227.18,39.12,15.86,1.39,32,184
31,5,2022,0,2,117.28,355.73,39.38,12.47,1.76,34.59,218
1,6,2022,0,3,147.15,375.4,39.54,9.39,0.51,35.46,349
2,6,2022,0,4,104.49,251.95,38.95,8.54,0.48,42.6,229
3,6,2022,0,5,126.27,278.88,37.3,10.35,0.62,63.19,305
4,6,2022,0,6,106.85,264.14,37.23,15.24,0.79,55.16,255
5,6,2022,1,7,84.94,288.22,36.51,20.08,0.79,41.25,244
6,6,2022,0,1,62.83,215,35.87,14.24,0.62,57.98,195
7,6,2022,0,2,112.22,387.31,36.4,12.91,0.73,47.03,262
8,6,2022,0,3,102.8,384.86,36.17,13.97,0.45,47,341
9,6,2022,0,4,85.3,288.97,36.21,12.6,0.54,46.57,237
10,6,2022,0,5,103.64,341.46,12.01,7.56,0.66,41.17,293
11,6,2022,0,6,101.12,327.41,8.82,6.24,0.65,41.66,276
12,6,2022,1,7,105.02,302.97,11.21,6.31,0.66,48.77,284
13,6,2022,0,1,63.16,253.31,6.5,3.75,0.52,50.69,208
14,6,2022,0,2,88.37,260.65,4.52,3.26,0.56,44.86,221
15,6,2022,0,3,61.31,150.81,4.11,3.09,0.54,43.6,157
16,6,2022,0,4,50.55,138.34,6.43,3.18,0.57,52.7,135
17,6,2022,0,5,35.52,68.63,7.94,3.67,0.64,48.16,81
18,6,2022,0,6,35.85,54.19,4.97,3.9,0.6,46.59,65
19,6,2022,1,7,62.71,100.85,6.37,7.44,0.63,32.19,130
20,6,2022,0,1,136.01,170,8.6,9.96,0.8,41.6,208
21,6,2022,0,2,52.93,110.84,12.48,12.26,0.84,38.12,120
22,6,2022,0,3,71.71,156.6,7.64,12.35,0.68,58.39,138
23,6,2022,0,4,78.02,173.61,8.48,12.03,0.54,72.84,148
24,6,2022,0,5,102.07,214.06,11.38,11.85,0.59,68.63,210
25,6,2022,0,6,103.97,228.02,16.02,11.84,0.97,80.12,199
26,6,2022,1,7,99.65,181.98,6.79,11.82,0.84,45.85,206
27,6,2022,0,1,66.11,126.56,4.66,11.89,0.72,41.55,118
28,6,2022,0,2,77.03,228.05,5.51,13.87,0.81,41.37,160
29,6,2022,0,3,67.12,190.51,5.14,18.01,0.74,34.99,162
30,6,2022,0,4,62.73,71.57,22.54,17.54,0.75,21.31,154
1,7,2022,0,5,38.9,56.38,31.54,13.72,0.74,18.94,64
2,7,2022,0,6,47.15,151.33,33.4,13.6,0.81,28.61,92
3,7,2022,1,7,32.42,49.3,42.1,13.48,0.66,25.44,84
4,7,2022,0,1,87.32,133.14,40.7,13.47,1.1,34.59,101
5,7,2022,0,2,94.56,136.46,21.96,18.32,0.83,24.06,133
6,7,2022,0,3,42.9,104.18,22.61,22.07,0.45,30.51,100
7,7,2022,0,4,38.57,93.44,21.76,24.26,0.44,26.74,97
8,7,2022,0,5,51.56,106.14,20.69,23.89,0.52,29.9,89
9,7,2022,1,6,52.38,97.13,18.85,23.84,0.5,28.91,111
10,7,2022,1,7,40.21,67.27,19.08,23.81,0.38,34.17,66
11,7,2022,0,1,60.93,88.99,18.97,23.95,0.78,56.99,98
12,7,2022,0,2,37.22,76.49,18.98,24,0.71,66.51,84
13,7,2022,0,3,34.87,62.48,19.05,23.67,0.48,79.27,82
14,7,2022,0,4,42.52,91.78,19.02,23.75,0.46,79.59,88
15,7,2022,0,5,29.55,72.71,19.03,23.78,0.38,84.39,92
16,7,2022,0,6,33.54,56.96,19.12,23.66,0.46,77.79,87
17,7,2022,1,7,48.54,43.11,19.08,23.53,0.37,84.03,96
18,7,2022,0,1,52.62,134.4,18.95,23.45,0.5,83.72,140
19,7,2022,0,2,41.44,124.01,18.95,23.48,0.74,76.73,124
20,7,2022,0,3,42.94,66.84,8.02,25.01,0.49,61.01,86
21,7,2022,0,4,60.22,72.24,6.33,25.87,0.5,55.24,53
22,7,2022,0,5,67.42,116.78,7.24,25.99,0.73,49.48,171
23,7,2022,0,6,33.67,65.68,4.26,26.22,0.46,50.4,71
24,7,2022,1,7,26.14,49.86,4.25,26.09,0.39,51.79,59
25,7,2022,0,1,25,50.31,3.51,26.16,0.35,54.92,56
26,7,2022,0,2,30.88,61.12,4.88,27.22,0.41,53.01,60
27,7,2022,0,3,28.34,57.78,6.74,27.33,0.42,52.63,55
28,7,2022,0,4,25.7,42.09,7.07,26.85,0.4,49,52
29,7,2022,0,5,27.48,43.14,5.64,27.14,0.36,46.41,47
30,7,2022,0,6,28.74,37.9,5.5,26.74,0.53,48.02,47
31,7,2022,1,7,29.61,39.32,5.83,26.22,0.39,53.42,50
1,8,2022,0,1,27.42,62.78,4.95,26.26,0.41,47.76,48
2,8,2022,0,2,36.22,385.15,9.02,26.32,0.45,53.86,216
3,8,2022,0,3,45.03,139.59,10.27,26.28,0.73,52.95,125
4,8,2022,0,4,34.65,89.03,9.78,26.41,0.77,52.75,99
5,8,2022,0,5,29.54,65.32,9.32,26.35,0.69,49.97,56
6,8,2022,0,6,37.25,88.15,6.57,26.54,0.7,54.73,88
7,8,2022,1,7,60.79,90.78,8.42,26.59,0.89,47.05,127
8,8,2022,0,1,48.58,93.31,8.18,26.75,0.84,61.47,68
9,8,2022,1,2,52.53,95.69,7.45,26.62,0.65,55.29,115
10,8,2022,0,3,42.77,93.29,37.23,26.39,0.57,48.26,87
11,8,2022,0,4,25.31,51.36,37.77,26.18,0.38,47.05,62
12,8,2022,0,5,29.69,55.77,37.63,26.32,0.41,46.84,52
13,8,2022,0,6,30.89,60.97,37.67,26.46,0.53,48.07,58
14,8,2022,1,7,29.28,45.91,37.5,26.62,0.54,46.06,53
15,8,2022,1,1,24.87,29.48,37.43,26.68,0.38,37.86,47
16,8,2022,0,2,22.75,49.26,37.47,26.65,0.38,44.19,47
17,8,2022,0,3,24.92,30.53,37.82,26.64,0.42,44.73,48
18,8,2022,0,4,24.52,57.02,37.41,26.67,0.41,44.36,48
19,8,2022,1,5,27.54,53.97,37.69,26.71,0.32,49.43,59
20,8,2022,0,6,35.65,77.33,37.76,26.63,0.45,47.43,69
21,8,2022,1,7,47.66,100.08,31.8,26.73,0.49,35.12,93
22,8,2022,0,1,42.56,88.54,15,27.08,0.46,47.5,93
23,8,2022,0,2,34.37,56,15.04,26.67,0.41,47.15,69
24,8,2022,0,3,30.18,49.78,15.07,26.61,0.64,47.06,51
25,8,2022,0,4,36.47,100.36,15.08,25.8,0.69,62.87,77
26,8,2022,0,5,39.01,95.31,14.99,25.75,0.49,48.97,105
27,8,2022,0,6,33.02,94.33,15.09,25.82,0.36,51.27,92
28,8,2022,1,7,41.74,126.96,15.02,25.81,0.39,51.03,106
29,8,2022,0,1,43.31,133.05,15.03,25.81,0.42,54.95,130
30,8,2022,0,2,52.9,129.59,15.12,25.89,0.65,59.85,110
31,8,2022,0,3,42.48,111.99,15.09,19.28,0.46,49.74,110
1,9,2022,0,4,50.05,115.37,9.53,5.64,0.55,57.65,112
2,9,2022,0,5,43.4,106.73,8.76,5.65,0.5,56.02,104
3,9,2022,0,6,36.98,103.85,8.72,5.73,0.43,47.55,106
4,9,2022,1,7,32.85,87.52,6.93,5.72,0.39,46.99,85
5,9,2022,0,1,29.88,87.24,7.59,2.47,0.8,17.08,82
6,9,2022,0,2,46.69,125.05,7.26,5.98,0.48,56.07,73
7,9,2022,0,3,56.54,138.14,8.84,2.72,0.77,24.1,124
8,9,2022,0,4,71.15,154.82,8.77,6.08,0.7,70.41,222
9,9,2022,0,5,64.96,124.14,9.32,6.21,0.7,67.66,150
10,9,2022,0,6,44,86.54,7.21,6.23,0.57,60.76,96
11,9,2022,1,7,30.37,78.38,7.26,6.25,0.56,64.99,72
12,9,2022,0,1,25.34,69.07,7.21,6.31,0.51,64.57,76
13,9,2022,0,2,31.83,56.87,5.86,6.4,0.42,52.69,63
14,9,2022,0,3,24.1,44.55,4.3,6.72,0.35,53.57,64
15,9,2022,0,4,19.67,23.61,4.82,6.81,0.33,57.35,62
16,9,2022,0,5,23.69,14.98,6.97,6.94,0.45,51.53,54
17,9,2022,0,6,25.87,69.23,6.87,7.05,0.6,51.51,54
18,9,2022,1,7,36.82,116.51,8.56,7.26,0.8,54.97,92
19,9,2022,0,1,41.78,170.47,11.51,7.21,1.08,34.21,140
20,9,2022,0,2,55.26,111.58,8.44,1.96,1.05,13.1,131
21,9,2022,0,3,43.81,78.44,8.33,1.68,0.86,8.14,84
22,9,2022,0,4,31.21,53.27,6.22,1.62,0.78,8.78,51
23,9,2022,0,5,16.23,31.51,7.62,9.59,0.47,18.43,31
24,9,2022,0,6,16.55,31.84,6.53,9.58,0.61,19.64,37
25,9,2022,1,7,14.36,32.02,5.46,9.62,0.42,24.61,24
26,9,2022,0,1,22.03,74.46,6.69,9.78,0.61,18.05,66
27,9,2022,0,2,27.19,90.05,6.81,9.74,0.56,12.57,75
28,9,2022,0,3,29.79,123.13,9.17,9.8,0.64,13.87,108
29,9,2022,0,4,31.14,133.18,8.58,9.79,0.68,15.91,124
30,9,2022,0,5,40.81,163.14,11.73,9.91,0.75,11.28,133
1,10,2022,0,6,35.11,155.49,9.17,9.93,0.68,9.39,139
2,10,2022,1,7,33.73,150.88,10.09,9.97,0.53,11.24,141
3,10,2022,0,1,25.56,114.08,9.11,10.01,0.44,13.73,107
4,10,2022,0,2,39.29,139.4,11.23,10.14,0.63,9.87,118
5,10,2022,1,3,41.3,170.61,12.77,10.52,0.78,9.62,150
6,10,2022,0,4,22.96,80.04,7.39,2.55,0.58,18.54,109
7,10,2022,0,5,11.91,29.62,6.3,10.34,0.39,5.7,35
8,10,2022,0,6,13,25.73,4.28,10.51,0.39,58.1,81
9,10,2022,1,7,9.39,13.07,3.09,10.57,0.27,93.33,100
10,10,2022,0,1,19.69,36.63,5.04,1.32,0.33,11.13,19
11,10,2022,0,2,19.98,66.91,10.89,10.66,0.63,34.88,45
12,10,2022,0,3,24.46,95.25,3.97,10.76,0.61,10.32,94
13,10,2022,0,4,21.96,101.32,3.01,10.77,0.54,16.31,97
14,10,2022,0,5,26.86,140.33,3.49,10.77,0.64,22.95,115
15,10,2022,0,6,36.46,190.7,3.84,10.79,0.65,20.99,138
16,10,2022,1,7,39.76,197.91,3.95,10.98,0.65,20.25,184
17,10,2022,0,1,46.12,244.02,4.51,11,0.7,17.79,185
18,10,2022,0,2,41.46,236.88,4.77,11,0.83,9.93,200
19,10,2022,0,3,42.35,310.08,5.64,12.1,2.97,14.83,74
20,10,2022,0,4,64.6,356.38,12.65,13.51,1.53,24.4,101
21,10,2022,0,5,71.07,261.79,28,13.85,1.37,20.51,246
22,10,2022,0,6,142.46,245.64,29.58,14.18,0.9,27.44,262
23,10,2022,1,7,139.53,229.72,27.23,14.14,0.85,28.3,274
24,10,2022,1,1,162.04,234.5,22.81,14.04,0.82,38.15,307
25,10,2022,0,2,146.62,228.11,19.79,14.06,0.77,38.51,289
26,10,2022,0,3,147.07,246.48,24.65,14.14,1.17,30.55,285
27,10,2022,0,4,221.08,344.75,32.38,14.16,1.96,23.32,376
28,10,2022,0,5,270.56,419.52,43.54,14.2,2.16,25.35,392
29,10,2022,0,6,271.03,403.53,39.14,14.23,1.83,21.41,424
30,10,2022,1,7,257.61,434.04,39.68,14.2,2.27,23.16,381
31,10,2022,0,1,286.46,520.95,51.09,14.99,2.86,14.66,409
1,11,2022,0,2,184.09,502.55,91.09,13.73,3.4,10.71,434
2,11,2022,0,3,116.96,493.59,50.99,7.98,2.23,20.77,390
3,11,2022,0,4,159.95,688.97,47.45,8.18,2.56,21.82,456
4,11,2022,0,5,145.8,648.8,67.76,9.7,3.42,28.22,451
5,11,2022,0,6,92.46,391.37,54.99,7.22,2,23.34,376
6,11,2022,1,7,193.83,361.79,19.24,1.44,1.7,24.94,368
7,11,2022,0,1,233.5,434.82,23.61,2.35,1.65,23.87,368
8,11,2022,1,2,269.14,427.73,14.73,1.37,1.28,15.29,403
9,11,2022,0,3,127.67,280.92,20.11,2.36,1.27,29.35,292
10,11,2022,0,4,91.48,378.56,47.81,9.09,1.96,36.72,315
11,11,2022,0,5,120,414.55,41.61,6.9,1.24,36.06,340
12,11,2022,0,6,100.51,342.71,42.36,8.17,1.09,45.14,289
13,11,2022,1,7,89.41,304.97,44.77,10.1,1.23,49.52,249
14,11,2022,0,1,96.59,350.87,55.49,11.88,2.87,47.86,319
15,11,2022,0,2,69.63,244.25,50.08,9.16,1.07,36.35,200
16,11,2022,0,3,61.99,214.26,43.65,9.12,0.7,49.24,211
17,11,2022,0,4,78.7,268.88,46.23,8.47,0.95,49.3,203
18,11,2022,0,5,89.22,321.54,51.54,8.89,1.21,46.32,268
19,11,2022,0,6,83.18,309.66,61.58,8.72,1.28,24.3,263
20,11,2022,1,7,87.25,317.33,62.95,8.83,1.08,12.19,278
21,11,2022,0,1,74.62,271.87,56.62,9.34,0.9,12.89,246
22,11,2022,0,2,62.41,245.34,57.42,9.96,0.8,14.4,203
23,11,2022,0,3,57.06,250.87,60.56,9.67,0.79,12.67,221
24,11,2022,0,4,60.97,282.52,60.95,11.43,1.06,16.63,215
25,11,2022,0,5,68.93,331.13,67.56,12.16,1.51,13.87,306
26,11,2022,0,6,77.94,360.48,66.49,11.4,1.12,17.97,296
27,11,2022,1,7,75.94,329.99,69.23,10.21,1.27,13.11,288
28,11,2022,0,1,74.82,362.38,68.45,12.88,1.7,13.4,308
29,11,2022,0,2,106.72,540.39,69.57,11.69,2.69,9.69,360
30,11,2022,0,3,109.39,454.52,48.69,7.73,2.46,11.01,389
1,12,2022,0,4,167.61,439.69,48.42,4.23,1.62,28.51,358
2,12,2022,0,5,215.42,378.66,50.2,4.4,2.1,26.9,386
3,12,2022,0,6,311.79,534.61,58.04,5.87,3.41,45.73,411
4,12,2022,1,7,249.33,468.77,48.85,3.93,1.98,35.75,408
5,12,2022,0,1,186.49,400.31,46.1,5.88,1.27,34.63,324
6,12,2022,0,2,120.08,330.43,43.04,4.02,0.96,31.53,316
7,12,2022,0,3,80.29,245.29,40.42,3.83,0.7,30.53,224
8,12,2022,0,4,82.64,269.16,42.1,5.65,0.87,35.3,209
9,12,2022,0,5,87.75,301.25,46.34,4.85,1.09,35.32,260
10,12,2022,0,6,103.38,354.67,47.36,6.37,1.49,37.31,343
11,12,2022,1,7,72.24,243.72,45.85,6.12,0.67,28.5,198
12,12,2022,0,1,59.22,202.71,46.55,5.73,0.7,24.1,182
13,12,2022,0,2,48.35,163.77,42.62,5.56,0.53,34.23,153
14,12,2022,0,3,54.45,189.7,42.03,5.71,0.64,35.61,161
15,12,2022,0,4,59.8,210.46,45.72,5.63,0.76,31.31,162
16,12,2022,0,5,89.82,330.13,48.74,6.21,1.21,39.3,206
17,12,2022,0,6,93.08,353.73,48.36,6,1.44,44.17,314
18,12,2022,1,7,113.19,413.75,51.33,7.3,1.67,51.19,319
19,12,2022,0,1,119.53,422.23,48.02,6.02,1.83,54.2,354
20,12,2022,0,2,76.69,275.39,42.13,5.94,1.37,41.98,263
21,12,2022,0,3,81.9,296.64,41.85,5.38,1.11,41.98,214
22,12,2022,0,4,84.37,314.04,42.92,5.72,1.11,36.46,263
23,12,2022,0,5,71.87,273.2,44.95,5.54,1.28,42.72,236
24,12,2022,0,6,69.88,260.04,44.51,6.85,1.18,39.41,266
25,12,2022,1,7,71.78,268.7,44.21,5.75,0.95,32.42,208
26,12,2022,0,1,109.62,483,37.02,6.67,2,55.89,240
27,12,2022,0,2,69.44,254.83,34.94,6.17,1.5,38.39,249
28,12,2022,0,3,69.87,261.53,34.82,7.22,1.22,42.97,236
29,12,2022,0,4,92.92,363.94,37.52,8.36,1.52,53.06,232
30,12,2022,0,5,202.24,449.21,35.17,8.63,2.04,56.41,368
31,12,2022,0,6,164.48,265.14,7.95,4.46,1.01,37.59,357
1,1,2023,1,7,139.04,207.88,10.73,2.98,0.99,41.19,281
2,1,2023,0,1,202.79,297.92,11.52,3.08,1.17,48.45,327
3,1,2023,0,2,233.25,368.79,11.94,7.57,0.95,47.16,384
4,1,2023,0,3,171.19,266.21,9.66,3.48,0.96,41.98,341
5,1,2023,0,4,163.96,274.04,13.22,8.45,1.11,38.09,318
6,1,2023,0,5,213.63,628.17,14.68,9.41,1.2,45.34,365
7,1,2023,0,6,200.6,1000,13.16,15.77,1.15,41.66,500
8,1,2023,1,7,232.78,869.48,9.26,5.16,1.52,50.96,500
9,1,2023,0,1,250.18,377.71,11.19,5.84,2.31,57.32,412
10,1,2023,0,2,168.18,273.41,12.36,4.46,1.23,13.06,236
11,1,2023,0,3,189.83,310.04,16.15,4.9,1.17,10.61,288
12,1,2023,0,4,227.38,356.05,15.18,8.87,1.63,12,400
13,1,2023,0,5,225.92,340.05,16.07,5.8,1.68,11.22,388
14,1,2023,0,6,146.21,237.45,6.72,4.05,0.65,19.31,337
15,1,2023,1,7,107.33,193.54,9.47,4,0.45,16.35,233
16,1,2023,0,1,162.29,270.4,13.45,5.42,0.76,18.87,285
17,1,2023,0,2,151.71,249.14,13.4,5.6,0.87,17.38,289
18,1,2023,0,3,199,327.3,15.06,6.29,1.42,12.66,302
19,1,2023,0,4,191.79,313.42,16.98,12.14,1.25,15.73,337
20,1,2023,0,5,81.13,159.68,9.12,9.95,0.7,18.33,196
21,1,2023,0,6,217.29,342.69,19.29,6.89,1.5,10.49,305
22,1,2023,1,7,254.46,392.36,13.55,8.77,1.53,17.28,411
23,1,2023,0,1,160.63,273.19,15.09,7.26,1.19,13.34,335
24,1,2023,0,2,94.94,193.3,15.85,6.38,1.05,9.13,242
25,1,2023,0,3,95.75,198.95,9.43,5.96,1.16,5.31,181
